Date,Exchange_Rate_GBP_USD,FTSE100_Index,Inflation_Rate,Interest_Rate,GDP_Growth,Unemployment_Rate,CPI
2017-08-16,1.2867032289505005,7433.0,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-17,1.2891582250595093,7387.89990234375,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-18,1.2865046262741089,7324.0,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-19,1.2865046262741089,7324.0,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-20,1.2865046262741089,7324.0,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-21,1.2873657941818237,7318.89990234375,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-22,1.289823293685913,7381.7001953125,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-23,1.2823965549468994,7382.7001953125,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-24,1.28037691116333,7407.10009765625,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-25,1.280393362045288,7401.5,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-26,1.280393362045288,7401.5,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-27,1.280393362045288,7401.5,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-28,1.2905224561691284,7401.5,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-29,1.2927078008651733,7337.39990234375,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-30,1.292657732963562,7365.2998046875,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-08-31,1.2920564413070679,7430.60009765625,2.55775577557747,0.28119,0.6767560167,4.354674,104.0
2017-09-01,1.2941633462905884,7438.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-02,1.2941633462905884,7438.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-03,1.2941633462905884,7438.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-04,1.2965123653411865,7411.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-05,1.2924071550369263,7372.89990234375,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-06,1.3041210174560547,7354.10009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-07,1.3049719333648682,7397.0,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-08,1.3104785680770874,7377.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-09,1.3104785680770874,7377.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-10,1.3104785680770874,7377.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-11,1.3197661638259888,7413.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-12,1.3169677257537842,7400.7001953125,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-13,1.3289213180541992,7379.7001953125,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-14,1.3206027746200562,7295.39990234375,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-15,1.3399077653884888,7215.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-16,1.3399077653884888,7215.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-17,1.3399077653884888,7215.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-18,1.3575152158737183,7253.2998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-19,1.3516618013381958,7275.2998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-20,1.3515340089797974,7272.0,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-21,1.3489633798599243,7263.89990234375,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-22,1.3579760789871216,7310.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-23,1.3579760789871216,7310.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-24,1.3579760789871216,7310.60009765625,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-25,1.3507307767868042,7301.2998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-26,1.3477815389633179,7285.7001953125,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-27,1.3448090553283691,7313.5,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-28,1.3398897647857666,7322.7998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-29,1.343021035194397,7372.7998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-09-30,1.343021035194397,7372.7998046875,2.55775577557747,0.30911,0.6767560167,4.354674,104.3
2017-10-01,1.343021035194397,7372.7998046875,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-02,1.3394052982330322,7438.7998046875,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-03,1.3275628089904785,7468.10009765625,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-04,1.3241175413131714,7467.60009765625,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-05,1.323276400566101,7508.0,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-06,1.3112690448760986,7522.89990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-07,1.3112690448760986,7522.89990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-08,1.3112690448760986,7522.89990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-09,1.3084039688110352,7507.89990234375,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-10,1.314405918121338,7538.2998046875,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
2017-10-11,1.3211086988449097,7533.7998046875,2.55775577557747,0.38187,0.7505415208,4.449094,104.4
